cash_flow,own_supporting,user_other,trust_fund,exp_type,gov_level,description,state,state_code,year,estimate_actual,value,mode,deflator,chained,gov_level_sort_order,mode_sort_order,user_other_grp,chained_year,state_code_sort_order,population,value_per_pop,chained_per_pop
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,South Dakota,SD,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,46,886729,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,South Dakota,SD,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,46,896492,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,South Dakota,SD,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,46,909723,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Tennessee,TN,2020,Actual,0,Highways,106.515,0,1,0,Other,2017,47,6912347,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Tennessee,TN,2021,Actual,0,Highways,116.734,0,1,0,Other,2017,47,6965740,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Tennessee,TN,2022,Actual,0,Highways,128.921,0,1,0,Other,2017,47,7062217,0,0
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Texas,TX,2020,Actual,703338000,Highways,106.515,660318265,1,0,Other,2017,48,29149458,24.12868191,22.65284881
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Texas,TX,2021,Actual,717276000,Highways,116.734,614453372.6,1,0,Other,2017,48,29570351,24.25659405,20.77937366
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Texas,TX,2022,Actual,896372000,Highways,128.921,695287811.9,1,0,Other,2017,48,30113488,29.76646212,23.08891657
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Utah,UT,2020,Actual,86374000,Highways,106.515,81090926.16,1,0,Other,2017,49,3271608,26.40108473,24.78625989
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Utah,UT,2021,Actual,90719000,Highways,116.734,77714290.61,1,0,Other,2017,49,3339738,27.16350804,23.26957702
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Utah,UT,2022,Actual,378811000,Highways,128.921,293831881.5,1,0,Other,2017,49,3391011,111.7103424,86.65022955
Revenue,Supporting,Other,Non-Trust Fund,-,State and Local,State general funds,Vermont,VT,2020,Actual,55139000,Highways,106.515,51766417.88,1,0,Other,2017,52,643082,85.74178721,80.49738272
